Language_ID,Parameter_ID,Value,Name,Family
mnd,30A,None,Mandarin,Sino-Tibetan
mns,30A,None,Mansi,Uralic
mny,30A,None,Margany,Pama-Nyungan
mok,30A,None,Mokilese,Austronesian
mos,30A,Two,Mosetén,Mosetenan
mrd,30A,Four,Marind,Anim
mrl,30A,None,Murle,Eastern Sudanic
mrt,30A,None,Martuthunira,Pama-Nyungan
mss,30A,None,Miwok (Southern Sierra),Penutian
mun,30A,Two,Mundari,Austro-Asiatic
mxc,30A,Five or more,Mixtec (Chalcatongo),Oto-Manguean
myi,30A,Three,Mangarrayi,Mangarrayi-Maran
nbd,30A,None,Nubian (Dongolese),Eastern Sudanic
nca,30A,Three,Nicobarese (Car),Austro-Asiatic
ndy,30A,None,Ndyuka,other
nez,30A,None,Nez Perce,Penutian
ngg,30A,Five or more,Ngan'gityemerri,Southern Daly
ngi,30A,None,Ngiyambaa,Pama-Nyungan
nht,30A,None,Nahuatl (Tetelcingo),Uto-Aztecan
nko,30A,Five or more,Nkore-Kiga,Niger-Congo
ntu,30A,None,Nenets,Uralic
nug,30A,Five or more,Nunggubuyu,Gunwinyguan
nyh,30A,Five or more,Nyiha,Niger-Congo
nym,30A,Five or more,Nyamwezi,Niger-Congo
oji,30A,Two,Ojibwa (Eastern),Algic
ond,30A,Three,Oneida,Iroquoian
orh,30A,Two,Oromo (Harar),Afro-Asiatic
ork,30A,None,Orok,Altaic
otm,30A,None,Otomí (Mezquital),Oto-Manguean
pai,30A,None,Paiwan,Austronesian
pal,30A,None,Palauan,Austronesian
pan,30A,Two,Panjabi,Indo-European
pau,30A,Four,Paumarí,Arauan
pil,30A,None,Pileni,Austronesian
pip,30A,None,Pipil,Uto-Aztecan
pit,30A,None,Pitjantjatjara,Pama-Nyungan
pmc,30A,None,Pomo (Central),Hokan
ppi,30A,Two,Pitta Pitta,Pama-Nyungan
prh,30A,Four,Pirahã,Mura
prs,30A,None,Persian,Indo-European
psh,30A,Two,Pashto,Indo-European
psm,30A,Two,Passamaquoddy-Maliseet,Algic
qaf,30A,Two,Qafar,Afro-Asiatic
qim,30A,None,Quechua (Imbabura),Quechuan
ram,30A,None,Rama,Chibchan
rap,30A,None,Rapanui,Austronesian
ren,30A,Two,Rendille,Afro-Asiatic
ret,30A,Three,Retuarã,Tucanoan
rus,30A,Three,Russian,Indo-European
san,30A,None,Sango,Niger-Congo
saw,30A,None,Sawu,Austronesian
shk,30A,None,Shipibo-Konibo,Panoan
shn,30A,Five or more,Shona,Niger-Congo
sml,30A,None,Semelai,Austro-Asiatic
smt,30A,None,Sahaptin (Umatilla),Penutian
snc,30A,Three,Seneca,Iroquoian
