Language_ID,Parameter_ID,Value,Name,Family
aar,90A,Noun-Relative clause,Aari,Afro-Asiatic
abi,90A,Noun-Relative clause,Abipón,Guaicuruan
abk,90A,Relative clause-Noun,Abkhaz,Northwest Caucasian
abo,90A,Noun-Relative clause,Arbore,Afro-Asiatic
abu,90A,Noun-Relative clause,Abun,West Papuan
abv,90A,Noun-Relative clause,Abui,Timor-Alor-Pantar
ace,90A,Noun-Relative clause,Acehnese,Austronesian
acg,90A,Noun-Relative clause,Achagua,Arawakan
acl,90A,Noun-Relative clause,Acholi,Eastern Sudanic
acn,90A,Relative clause-Noun,Achang,Sino-Tibetan
adi,90A,Noun-Relative clause,Adioukrou,Niger-Congo
adz,90A,Noun-Relative clause,Adzera,Austronesian
aeg,90A,Noun-Relative clause,Arabic (Egyptian),Afro-Asiatic
agm,90A,Noun-Relative clause,Angami,Sino-Tibetan
ajg,90A,Noun-Relative clause,Ajagbe,Niger-Congo
akh,90A,Relative clause-Noun,Akha,Sino-Tibetan
ala,90A,Relative clause-Noun,Alamblak,Sepik
alb,90A,Noun-Relative clause,Albanian,Indo-European
alk,90A,Noun-Relative clause,Arop-Lokep,Austronesian
all,90A,Noun-Relative clause,Ala'ala,Austronesian
aly,90A,Noun-Relative clause,Alyawarra,Pama-Nyungan
amb,90A,Relative clause-Noun,Ambulas,Sepik
ame,90A,Noun-Relative clause,Amele,Trans-New Guinea
amh,90A,Relative clause-Noun,Amharic,Afro-Asiatic
ami,90A,Relative clause-Noun,Amis,Austronesian
aml,90A,Noun-Relative clause,Ambae (Lolovoli Northeast),Austronesian
amo,90A,Noun-Relative clause,Amo,Niger-Congo
amp,90A,Noun-Relative clause,Arrernte (Mparntwe),Pama-Nyungan
amq,90A,Noun-Relative clause,Ambai,Austronesian
amr,90A,Noun-Relative clause,Arabic (Moroccan),Afro-Asiatic
amt,90A,Mixed,Amdo (Themchen),Sino-Tibetan
ana,90A,Noun-Relative clause,Araona,Tacanan
anc,90A,Noun-Relative clause,Angas,Afro-Asiatic
ang,90A,Noun-Relative clause,Anggor,Senagi
anj,90A,Noun-Relative clause,Anejom,Austronesian
anu,90A,Noun-Relative clause,Anufo,Niger-Congo
any,90A,Noun-Relative clause,Anywa,Eastern Sudanic
ao,90A,Mixed,Ao,Sino-Tibetan
aoj,90A,Noun-Relative clause,Mufian,Torricelli
apt,90A,Relative clause-Noun,Apatani,Sino-Tibetan
apu,90A,Noun-Relative clause,Apurinã,Arawakan
apw,90A,Noun-Relative clause,Apache (Western),Na-Dene
ara,90A,Mixed,Lokono,Arawakan
arg,90A,Noun-Relative clause,Arabic (Gulf),Afro-Asiatic
arj,90A,Noun-Relative clause,Arabic (Kuwaiti),Afro-Asiatic
arm,90A,Mixed,Armenian (Eastern),Indo-European
aro,90A,Noun-Relative clause,Arosi,Austronesian
arq,90A,Noun-Relative clause,Arabic (Iraqi),Afro-Asiatic
arw,90A,Noun-Relative clause,Armenian (Western),Indo-European
asm,90A,Relative clause-Noun,Asmat,Trans-New Guinea
asy,90A,Noun-Relative clause,Arabic (Syrian),Afro-Asiatic
ath,90A,Relative clause-Noun,Athpare,Sino-Tibetan
awa,90A,Relative clause-Noun,Awa,Trans-New Guinea
awe,90A,Noun-Relative clause,Arrernte (Western),Pama-Nyungan
awt,90A,Relative clause-Noun,Awtuw,Sepik
azi,90A,Mixed,Azari (Iranian),Altaic
baa,90A,Noun-Relative clause,Barai,Trans-New Guinea
bab,90A,Noun-Relative clause,Babungo,Niger-Congo
bag,90A,Noun-Relative clause,Bagirmi,Central Sudanic
bai,90A,Relative clause-Noun,Bai,Sino-Tibetan
