Language_ID,Parameter_ID,Value,Name,Family
aab,92A,Final,Arapesh (Abu),Torricelli
aar,92A,No_question_particle,Aari,Afro-Asiatic
abk,92A,No_question_particle,Abkhaz,Northwest Caucasian
abu,92A,Final,Abun,West Papuan
ace,92A,In_either_of_the_two_positions,Acehnese,Austronesian
acn,92A,Final,Achang,Sino-Tibetan
acu,92A,No_question_particle,Achuar,Jivaroan
adi,92A,Final,Adioukrou,Niger-Congo
adz,92A,No_question_particle,Adzera,Austronesian
aeg,92A,Initial,Arabic (Egyptian),Afro-Asiatic
aga,92A,No_question_particle,Agarabi,Trans-New Guinea
agc,92A,Initial,Agta (Central),Austronesian
agd,92A,Second_position,Agta (Dupaningan),Austronesian
agm,92A,Final,Angami,Sino-Tibetan
ajg,92A,Final,Ajagbe,Niger-Congo
akh,92A,Final,Akha,Sino-Tibetan
akn,92A,In_either_of_the_two_positions,Akan,Niger-Congo
ala,92A,No_question_particle,Alamblak,Sepik
alb,92A,Initial,Albanian,Indo-European
alk,92A,No_question_particle,Arop-Lokep,Austronesian
all,92A,Initial,Ala'ala,Austronesian
amc,92A,Second_position,Amahuaca,Panoan
ame,92A,Final,Amele,Trans-New Guinea
aml,92A,No_question_particle,Ambae (Lolovoli Northeast),Austronesian
amn,92A,In_either_of_the_two_positions,Amanab,Border
amo,92A,Final,Amo,Niger-Congo
amp,92A,Second_position,Arrernte (Mparntwe),Pama-Nyungan
amq,92A,Final,Ambai,Austronesian
amr,92A,Initial,Arabic (Moroccan),Afro-Asiatic
ams,92A,Initial,Arabic (Modern Standard),Afro-Asiatic
ana,92A,No_question_particle,Araona,Tacanan
anc,92A,Final,Angas,Afro-Asiatic
ang,92A,No_question_particle,Anggor,Senagi
ani,92A,Final,//Ani,Khoe-Kwadi
anj,92A,Final,Anejom,Austronesian
ano,92A,No_question_particle,Anong,Sino-Tibetan
anu,92A,Final,Anufo,Niger-Congo
ao,92A,Final,Ao,Sino-Tibetan
aoj,92A,Final,Mufian,Torricelli
api,92A,Initial,Apinayé,Macro-Ge
apl,92A,No_question_particle,Apalaí,Cariban
apt,92A,Final,Apatani,Sino-Tibetan
apu,92A,No_question_particle,Apurinã,Arawakan
apw,92A,No_question_particle,Apache (Western),Na-Dene
ara,92A,No_question_particle,Lokono,Arawakan
arc,92A,No_question_particle,Archi,Nakh-Daghestanian
