Language_ID,Parameter_ID,Value,Name,Family
aab,89A,Noun-Numeral,Arapesh (Abu),Torricelli
aar,89A,Noun-Numeral,Aari,Afro-Asiatic
aba,89A,Noun-Numeral,Abau,Sepik
abk,89A,No_dominant_order_numeral_noun,Abkhaz,Northwest Caucasian
abo,89A,Noun-Numeral,Arbore,Afro-Asiatic
abu,89A,Noun-Numeral,Abun,West Papuan
abv,89A,Noun-Numeral,Abui,Timor-Alor-Pantar
ace,89A,Numeral-Noun,Acehnese,Austronesian
acl,89A,Noun-Numeral,Acholi,Eastern Sudanic
acn,89A,Noun-Numeral,Achang,Sino-Tibetan
aco,89A,No_dominant_order_numeral_noun,Acoma,Keresan
adg,89A,Noun-Numeral,Adang,Timor-Alor-Pantar
adi,89A,Noun-Numeral,Adioukrou,Niger-Congo
adz,89A,Noun-Numeral,Adzera,Austronesian
aeg,89A,No_dominant_order_numeral_noun,Arabic (Egyptian),Afro-Asiatic
aga,89A,Numeral-Noun,Agarabi,Trans-New Guinea
agb,89A,Noun-Numeral,Leggbó,Niger-Congo
agc,89A,Numeral-Noun,Agta (Central),Austronesian
agd,89A,Numeral-Noun,Agta (Dupaningan),Austronesian
agh,89A,Noun-Numeral,Aghem,Niger-Congo
agm,89A,Noun-Numeral,Angami,Sino-Tibetan
agt,89A,Noun-Numeral,Anguthimri,Pama-Nyungan
aja,89A,No_dominant_order_numeral_noun,Aja,Central Sudanic
ajg,89A,Noun-Numeral,Ajagbe,Niger-Congo
akh,89A,Noun-Numeral,Akha,Sino-Tibetan
akn,89A,Noun-Numeral,Akan,Niger-Congo
ala,89A,Numeral-Noun,Alamblak,Sepik
alb,89A,Numeral-Noun,Albanian,Indo-European
alk,89A,Noun-Numeral,Arop-Lokep,Austronesian
all,89A,Noun-Numeral,Ala'ala,Austronesian
aln,89A,Noun-Numeral,Alune,Austronesian
als,89A,Numeral-Noun,Alsea,Oregon Coast
aly,89A,Noun-Numeral,Alyawarra,Pama-Nyungan
ama,89A,Noun-Numeral,Amara,Austronesian
amb,89A,Noun-Numeral,Ambulas,Sepik
ame,89A,Noun-Numeral,Amele,Trans-New Guinea
amh,89A,Numeral-Noun,Amharic,Afro-Asiatic
ami,89A,Numeral-Noun,Amis,Austronesian
amk,89A,Numeral-Noun,Amarakaeri,Harakmbet
aml,89A,Noun-Numeral,Ambae (Lolovoli Northeast),Austronesian
amo,89A,Noun-Numeral,Amo,Niger-Congo
amp,89A,Noun-Numeral,Arrernte (Mparntwe),Pama-Nyungan
amq,89A,Noun-Numeral,Ambai,Austronesian
amr,89A,Numeral-Noun,Arabic (Moroccan),Afro-Asiatic
ams,89A,Numeral-Noun,Arabic (Modern Standard),Afro-Asiatic
amt,89A,Noun-Numeral,Amdo (Themchen),Sino-Tibetan
amx,89A,Noun-Numeral,Anamuxra,Trans-New Guinea
ana,89A,No_dominant_order_numeral_noun,Araona,Tacanan
anc,89A,Noun-Numeral,Angas,Afro-Asiatic
ang,89A,Noun-Numeral,Anggor,Senagi
ani,89A,Numeral-Noun,//Ani,Khoe-Kwadi
anj,89A,Noun-Numeral,Anejom,Austronesian
ano,89A,Noun-Numeral,Anong,Sino-Tibetan
anu,89A,Noun-Numeral,Anufo,Niger-Congo
any,89A,Noun-Numeral,Anywa,Eastern Sudanic
ao,89A,Noun-Numeral,Ao,Sino-Tibetan
aoj,89A,Noun-Numeral,Mufian,Torricelli
apl,89A,No_dominant_order_numeral_noun,Apalaí,Cariban
apt,89A,Noun-Numeral,Apatani,Sino-Tibetan
apu,89A,Numeral-Noun,Apurinã,Arawakan
apw,89A,Noun-Numeral,Apache (Western),Na-Dene
ara,89A,Numeral-Noun,Lokono,Arawakan
arc,89A,Numeral-Noun,Archi,Nakh-Daghestanian
arg,89A,Numeral-Noun,Arabic (Gulf),Afro-Asiatic
arj,89A,No_dominant_order_numeral_noun,Arabic (Kuwaiti),Afro-Asiatic
arm,89A,Numeral-Noun,Armenian (Eastern),Indo-European
aro,89A,Numeral-Noun,Arosi,Austronesian
