Language_ID,Parameter_ID,Value,Name,Family
aar,A85,Postpositions,Aari,Afro-Asiatic
aba,A85,Postpositions,Abau,Sepik
abi,A85,Prepositions,Abipón,Guaicuruan
abk,A85,Postpositions,Abkhaz,Northwest Caucasian
abu,A85,Prepositions,Abun,West Papuan
abv,A85,No adpositions,Abui,Timor-Alor-Pantar
ace,A85,Prepositions,Acehnese,Austronesian
acg,A85,Postpositions,Achagua,Arawakan
acl,A85,Prepositions,Acholi,Eastern Sudanic
acm,A85,Prepositions,Achumawi,Hokan
acn,A85,Postpositions,Achang,Sino-Tibetan
aco,A85,Postpositions,Acoma,Keresan
adg,A85,Postpositions,Adang,Timor-Alor-Pantar
adi,A85,Postpositions,Adioukrou,Niger-Congo
adn,A85,Postpositions,Adynyamathanha,Pama-Nyungan
ady,A85,Postpositions,Adyghe (Abzakh),Northwest Caucasian
adz,A85,Prepositions,Adzera,Austronesian
aeg,A85,Prepositions,Arabic (Egyptian),Afro-Asiatic
agc,A85,Prepositions,Agta (Central),Austronesian
agm,A85,Postpositions,Angami,Sino-Tibetan
aja,A85,Prepositions,Aja,Central Sudanic
ajg,A85,Postpositions,Ajagbe,Niger-Congo
akh,A85,Postpositions,Akha,Sino-Tibetan
akn,A85,No dominant adposition order,Akan,Niger-Congo
ala,A85,Postpositions,Alamblak,Sepik
alb,A85,Prepositions,Albanian,Indo-European
alk,A85,Prepositions,Arop-Lokep,Austronesian
all,A85,No dominant adposition order,Ala'ala,Austronesian
aln,A85,Prepositions,Alune,Austronesian
als,A85,Prepositions,Alsea,Oregon Coast
alw,A85,Prepositions,Alawa,Mangarrayi-Maran
aly,A85,Postpositions,Alyawarra,Pama-Nyungan
ama,A85,Prepositions,Amara,Austronesian
amb,A85,Postpositions,Ambulas,Sepik
amc,A85,Postpositions,Amahuaca,Panoan
ame,A85,Postpositions,Amele,Trans-New Guinea
amh,A85,No dominant adposition order,Amharic,Afro-Asiatic
ami,A85,Prepositions,Amis,Austronesian
amk,A85,Postpositions,Amarakaeri,Harakmbet
aml,A85,Prepositions,Ambae (Lolovoli Northeast),Austronesian
amp,A85,Postpositions,Arrernte (Mparntwe),Pama-Nyungan
amq,A85,Prepositions,Ambai,Austronesian
amr,A85,Prepositions,Arabic (Moroccan),Afro-Asiatic
