Language_ID,Parameter_ID,Value,Name,Family
aab,88A,Noun-Demonstrative,Arapesh (Abu),Torricelli
aar,88A,Noun-Demonstrative,Aari,Afro-Asiatic
aba,88A,Noun-Demonstrative,Abau,Sepik
abi,88A,Demonstrative-Noun,Abipón,Guaicuruan
abk,88A,Demonstrative-Noun,Abkhaz,Northwest Caucasian
abu,88A,Noun-Demonstrative,Abun,West Papuan
abv,88A,Demonstrative-Noun,Abui,Timor-Alor-Pantar
ace,88A,Noun-Demonstrative,Acehnese,Austronesian
acn,88A,Noun-Demonstrative,Achang,Sino-Tibetan
aco,88A,Demonstrative-Noun,Acoma,Keresan
adg,88A,Noun-Demonstrative,Adang,Timor-Alor-Pantar
adi,88A,Noun-Demonstrative,Adioukrou,Niger-Congo
ady,88A,Demonstrative_prefix	,Adyghe (Abzakh),Northwest Caucasian
adz,88A,Noun-Demonstrative,Adzera,Austronesian
aeg,88A,Noun-Demonstrative,Arabic (Egyptian),Afro-Asiatic
agb,88A,Noun-Demonstrative,Leggbó,Niger-Congo
agc,88A,Demonstrative_suffix,Agta (Central),Austronesian
agd,88A,Mixed,Agta (Dupaningan),Austronesian
agh,88A,Noun-Demonstrative,Aghem,Niger-Congo
agm,88A,Noun-Demonstrative,Angami,Sino-Tibetan
agt,88A,Noun-Demonstrative,Anguthimri,Pama-Nyungan
ajg,88A,Noun-Demonstrative,Ajagbe,Niger-Congo
akh,88A,Noun-Demonstrative,Akha,Sino-Tibetan
akn,88A,Noun-Demonstrative,Akan,Niger-Congo
ala,88A,Demonstrative-Noun,Alamblak,Sepik
alb,88A,Demonstrative-Noun,Albanian,Indo-European
alk,88A,Noun-Demonstrative,Arop-Lokep,Austronesian
all,88A,Noun-Demonstrative,Ala'ala,Austronesian
aln,88A,Noun-Demonstrative,Alune,Austronesian
als,88A,Demonstrative-Noun,Alsea,Oregon Coast
alw,88A,Demonstrative-Noun,Alawa,Mangarrayi-Maran
aly,88A,Noun-Demonstrative,Alyawarra,Pama-Nyungan
ama,88A,Noun-Demonstrative,Amara,Austronesian
amb,88A,Demonstrative-Noun,Ambulas,Sepik
amc,88A,Demonstrative-Noun,Amahuaca,Panoan
ame,88A,Noun-Demonstrative,Amele,Trans-New Guinea
amh,88A,Demonstrative-Noun,Amharic,Afro-Asiatic
ami,88A,Demonstrative-Noun,Amis,Austronesian
amk,88A,Demonstrative-Noun,Amarakaeri,Harakmbet
aml,88A,Noun-Demonstrative,Ambae (Lolovoli Northeast),Austronesian
amn,88A,Demonstrative-Noun,Amanab,Border
amo,88A,Noun-Demonstrative,Amo,Niger-Congo
amp,88A,Noun-Demonstrative,Arrernte (Mparntwe),Pama-Nyungan
amq,88A,Noun-Demonstrative,Ambai,Austronesian
amr,88A,Demonstrative-Noun,Arabic (Moroccan),Afro-Asiatic
ams,88A,Demonstrative-Noun,Arabic (Modern Standard),Afro-Asiatic
amx,88A,Noun-Demonstrative,Anamuxra,Trans-New Guinea
ana,88A,Demonstrative-Noun,Araona,Tacanan
