Language_ID,Parameter_ID,Value,Name,Family
aab,97A,VO_and_NAdj,Arapesh (Abu),Torricelli
aar,97A,OV_and_NAdj,Aari,Afro-Asiatic
abi,97A,Other,Abipón,Guaicuruan
abk,97A,OV_and_NAdj,Abkhaz,Northwest Caucasian
abn,97A,OV_and_NAdj,Arabana,Pama-Nyungan
abo,97A,OV_and_NAdj,Arbore,Afro-Asiatic
abu,97A,VO_and_NAdj,Abun,West Papuan
abv,97A,OV_and_NAdj,Abui,Timor-Alor-Pantar
ace,97A,Other,Acehnese,Austronesian
acg,97A,VO_and_NAdj,Achagua,Arawakan
acl,97A,VO_and_NAdj,Acholi,Eastern Sudanic
acn,97A,Other,Achang,Sino-Tibetan
aco,97A,Other,Acoma,Keresan
adg,97A,OV_and_NAdj,Adang,Timor-Alor-Pantar
adi,97A,VO_and_NAdj,Adioukrou,Niger-Congo
adn,97A,Other,Adynyamathanha,Pama-Nyungan
ady,97A,OV_and_NAdj,Adyghe (Abzakh),Northwest Caucasian
adz,97A,VO_and_NAdj,Adzera,Austronesian
aeg,97A,VO_and_NAdj,Arabic (Egyptian),Afro-Asiatic
aga,97A,OV_and_AdjN,Agarabi,Trans-New Guinea
agb,97A,VO_and_NAdj,Leggbó,Niger-Congo
agc,97A,VO_and_AdjN,Agta (Central),Austronesian
agd,97A,VO_and_AdjN,Agta (Dupaningan),Austronesian
agh,97A,VO_and_NAdj,Aghem,Niger-Congo
agm,97A,OV_and_NAdj,Angami,Sino-Tibetan
agt,97A,OV_and_NAdj,Anguthimri,Pama-Nyungan
aja,97A,VO_and_AdjN,Aja,Central Sudanic
ajg,97A,Other,Ajagbe,Niger-Congo
akh,97A,OV_and_NAdj,Akha,Sino-Tibetan
akn,97A,VO_and_NAdj,Akan,Niger-Congo
ala,97A,OV_and_AdjN,Alamblak,Sepik
alb,97A,VO_and_NAdj,Albanian,Indo-European
alk,97A,VO_and_NAdj,Arop-Lokep,Austronesian
aln,97A,VO_and_NAdj,Alune,Austronesian
als,97A,VO_and_AdjN,Alsea,Oregon Coast
alw,97A,Other,Alawa,Mangarrayi-Maran
aly,97A,OV_and_NAdj,Alyawarra,Pama-Nyungan
ama,97A,VO_and_NAdj,Amara,Austronesian
amb,97A,OV_and_AdjN,Ambulas,Sepik
amc,97A,OV_and_NAdj,Amahuaca,Panoan
ame,97A,OV_and_NAdj,Amele,Trans-New Guinea
amh,97A,OV_and_AdjN,Amharic,Afro-Asiatic
ami,97A,VO_and_AdjN,Amis,Austronesian
aml,97A,VO_and_NAdj,Ambae (Lolovoli Northeast),Austronesian
amm,97A,Other,Ama,Left May
amn,97A,OV_and_NAdj,Amanab,Border
amo,97A,VO_and_NAdj,Amo,Niger-Congo
amp,97A,OV_and_NAdj,Arrernte (Mparntwe),Pama-Nyungan
amq,97A,VO_and_NAdj,Ambai,Austronesian
amr,97A,VO_and_NAdj,Arabic (Moroccan),Afro-Asiatic
ams,97A,VO_and_NAdj,Arabic (Modern Standard),Afro-Asiatic
amt,97A,Other,Amdo (Themchen),Sino-Tibetan
amx,97A,OV_and_NAdj,Anamuxra,Trans-New Guinea
ana,97A,OV_and_NAdj,Araona,Tacanan
anc,97A,VO_and_NAdj,Angas,Afro-Asiatic
ang,97A,OV_and_NAdj,Anggor,Senagi
ani,97A,Other,//Ani,Khoe-Kwadi
anj,97A,VO_and_NAdj,Anejom,Austronesian
ano,97A,OV_and_NAdj,Anong,Sino-Tibetan
anu,97A,VO_and_NAdj,Anufo,Niger-Congo
any,97A,Other,Anywa,Eastern Sudanic
ao,97A,OV_and_NAdj,Ao,Sino-Tibetan
aoj,97A,VO_and_NAdj,Mufian,Torricelli
api,97A,OV_and_NAdj,Apinayé,Macro-Ge
apl,97A,OV_and_NAdj,Apalaí,Cariban
apt,97A,OV_and_NAdj,Apatani,Sino-Tibetan
apu,97A,Other,Apurinã,Arawakan
ara,97A,VO_and_AdjN,Lokono,Arawakan
arc,97A,OV_and_AdjN,Archi,Nakh-Daghestanian
arg,97A,VO_and_NAdj,Arabic (Gulf),Afro-Asiatic
arj,97A,VO_and_NAdj,Arabic (Kuwaiti),Afro-Asiatic
arm,97A,Other,Armenian (Eastern),Indo-European
aro,97A,VO_and_NAdj,Arosi,Austronesian
arp,97A,VO_and_AdjN,Arapesh (Mountain),Torricelli
arq,97A,VO_and_NAdj,Arabic (Iraqi),Afro-Asiatic
arw,97A,OV_and_AdjN,Armenian (Western),Indo-European
asm,97A,OV_and_NAdj,Asmat,Trans-New Guinea
ass,97A,OV_and_AdjN,Assamese,Indo-European
asy,97A,VO_and_NAdj,Arabic (Syrian),Afro-Asiatic
ata,97A,Other,Atayal,Austronesian
ath,97A,OV_and_AdjN,Athpare,Sino-Tibetan
atm,97A,OV_and_NAdj,Atacameño,Kunza
au,97A,VO_and_NAdj,Au,Torricelli
ava,97A,OV_and_AdjN,Avar,Nakh-Daghestanian
avo,97A,Other,Avokaya,Central Sudanic
awa,97A,OV_and_AdjN,Awa,Trans-New Guinea
awi,97A,OV_and_NAdj,Aekyom,Awin-Pare
awp,97A,OV_and_AdjN,Awa Pit,Barbacoan
awt,97A,OV_and_NAdj,Awtuw,Sepik
awy,97A,OV_and_NAdj,Awyi,Border
ayi,97A,VO_and_NAdj,Anyi,Niger-Congo
aym,97A,OV_and_AdjN,Aymara (Central),Aymaran
ayo,97A,VO_and_NAdj,Ayomán,Jirajaran
ayw,97A,VO_and_NAdj,Ayiwo,Austronesian
aze,97A,OV_and_AdjN,Azerbaijani,Altaic
baa,97A,OV_and_NAdj,Barai,Trans-New Guinea
bab,97A,VO_and_NAdj,Babungo,Niger-Congo
bac,97A,Other,Bachamal,Anson Bay
bae,97A,VO_and_NAdj,Baré,Arawakan
baf,97A,VO_and_NAdj,Bafut,Niger-Congo
bag,97A,VO_and_NAdj,Bagirmi,Central Sudanic
bai,97A,VO_and_AdjN,Bai,Sino-Tibetan
baj,97A,VO_and_NAdj,Bajau (Sama),Austronesian
bak,97A,VO_and_AdjN,Baka (in Cameroon),Niger-Congo
bam,97A,OV_and_NAdj,Bambara,Mande
baq,97A,VO_and_NAdj,Baure,Arawakan
bar,97A,VO_and_NAdj,Bari,Eastern Sudanic
bas,97A,VO_and_NAdj,Basaá,Niger-Congo
baw,97A,OV_and_NAdj,Bawm,Sino-Tibetan
bbl,97A,VO_and_NAdj,Babole,Niger-Congo
bbu,97A,VO_and_AdjN,Barambu,Niger-Congo
bbw,97A,Other,Bininj Gun-Wok,Gunwinyguan
bch,97A,VO_and_NAdj,Berber (Chaouia),Afro-Asiatic
bco,97A,VO_and_AdjN,Bella Coola,Salishan
bdm,97A,OV_and_NAdj,Badimaya,Pama-Nyungan
bdu,97A,VO_and_NAdj,Budu,Niger-Congo
bdw,97A,OV_and_NAdj,Baham,West Bomberai
bej,97A,Other,Beja,Afro-Asiatic
bel,97A,OV_and_AdjN,Belhare,Sino-Tibetan
