Language_ID,Parameter_ID,Value,Name,Family
aab,A81,SVO,Arapesh (Abu),Torricelli
aba,A81,SOV,Abau,Sepik
abi,A81,SVO,Abipón,Guaicuruan
abk,A81,SOV,Abkhaz,Northwest Caucasian
abn,A81,SOV,Arabana,Pama-Nyungan
abo,A81,SOV,Arbore,Afro-Asiatic
abu,A81,SVO,Abun,West Papuan
abv,A81,SOV,Abui,Timor-Alor-Pantar
ace,A81,No_dominant_word_order,Acehnese,Austronesian
acg,A81,SVO,Achagua,Arawakan
acl,A81,SVO,Acholi,Eastern Sudanic
acm,A81,SVO,Achumawi,Hokan
aco,A81,No_dominant_word_order,Acoma,Keresan
adg,A81,SOV,Adang,Timor-Alor-Pantar
adi,A81,SVO,Adioukrou,Niger-Congo
adn,A81,No_dominant_word_order,Adynyamathanha,Pama-Nyungan
ady,A81,SOV,Adyghe (Abzakh),Northwest Caucasian
adz,A81,SVO,Adzera,Austronesian
aeg,A81,SVO,Arabic (Egyptian),Afro-Asiatic
aga,A81,SOV,Agarabi,Trans-New Guinea
agb,A81,SVO,Leggbó,Niger-Congo
agc,A81,VSO,Agta (Central),Austronesian
agd,A81,VSO,Agta (Dupaningan),Austronesian
agh,A81,SVO,Aghem,Niger-Congo
agm,A81,SOV,Angami,Sino-Tibetan
agt,A81,SOV,Anguthimri,Pama-Nyungan
aja,A81,SVO,Aja,Central Sudanic
ajg,A81,No_dominant_word_order,Ajagbe,Niger-Congo
akh,A81,SOV,Akha,Sino-Tibetan
akn,A81,SVO,Akan,Niger-Congo
ala,A81,SOV,Alamblak,Sepik
alb,A81,SVO,Albanian,Indo-European
ale,A81,SOV,Aleut,Eskimo-Aleut
alk,A81,SVO,Arop-Lokep,Austronesian
all,A81,SOV,Ala'ala,Austronesian
aln,A81,SVO,Alune,Austronesian
alw,A81,No_dominant_word_order,Alawa,Mangarrayi-Maran
aly,A81,SOV,Alyawarra,Pama-Nyungan
ama,A81,SVO,Amara,Austronesian
amb,A81,SOV,Ambulas,Sepik
amc,A81,No_dominant_word_order,Amahuaca,Panoan
ame,A81,SOV,Amele,Trans-New Guinea
amh,A81,SOV,Amharic,Afro-Asiatic
ami,A81,No_dominant_word_order,Amis,Austronesian
aml,A81,SVO,Ambae (Lolovoli Northeast),Austronesian
amn,A81,SOV,Amanab,Border
amp,A81,SOV,Arrernte (Mparntwe),Pama-Nyungan
amq,A81,SVO,Ambai,Austronesian
ams,A81,VSO,Arabic (Modern Standard),Afro-Asiatic
anc,A81,SVO,Angas,Afro-Asiatic
ang,A81,SOV,Anggor,Senagi
ani,A81,No_dominant_word_order,//Ani,Khoe-Kwadi
anj,A81,VOS,Anejom,Austronesian
ann,A81,No_dominant_word_order,Anindilyakwa,Gunwinyguan
ano,A81,SOV,Anong,Sino-Tibetan
anu,A81,SVO,Anufo,Niger-Congo
any,A81,No_dominant_word_order,Anywa,Eastern Sudanic
ao,A81,SOV,Ao,Sino-Tibetan
aoj,A81,SVO,Mufian,Torricelli
api,A81,SOV,Apinayé,Macro-Ge
apl,A81,No_dominant_word_order,Apalaí,Cariban
apt,A81,SOV,Apatani,Sino-Tibetan
apu,A81,SVO,Apurinã,Arawakan
apw,A81,SOV,Apache (Western),Na-Dene
ara,A81,SVO,Lokono,Arawakan
arc,A81,SOV,Archi,Nakh-Daghestanian
arg,A81,SVO,Arabic (Gulf),Afro-Asiatic
ari,A81,SVO,Aribwatsa,Austronesian
arj,A81,SVO,Arabic (Kuwaiti),Afro-Asiatic
arm,A81,No_dominant_word_order,Armenian (Eastern),Indo-European
aro,A81,SVO,Arosi,Austronesian
arp,A81,SVO,Arapesh (Mountain),Torricelli
arq,A81,SVO,Arabic (Iraqi),Afro-Asiatic
arw,A81,SOV,Armenian (Western),Indo-European
asm,A81,SOV,Asmat,Trans-New Guinea
ass,A81,SOV,Assamese,Indo-European
asu,A81,OVS,Asuriní,Tupian
asy,A81,No_dominant_word_order,Arabic (Syrian),Afro-Asiatic
ath,A81,SOV,Athpare,Sino-Tibetan
atm,A81,SOV,Atacameño,Kunza
ats,A81,No_dominant_word_order,Atsugewi,Hokan
au,A81,SVO,Au,Torricelli
ava,A81,SOV,Avar,Nakh-Daghestanian
avk,A81,SVO,Avikam,Niger-Congo
avo,A81,No_dominant_word_order,Avokaya,Central Sudanic
awa,A81,SOV,Awa,Trans-New Guinea
awi,A81,SOV,Aekyom,Awin-Pare
awp,A81,SOV,Awa Pit,Barbacoan
awt,A81,SOV,Awtuw,Sepik
awy,A81,SOV,Awyi,Border
ayi,A81,SVO,Anyi,Niger-Congo
aym,A81,SOV,Aymara (Central),Aymaran
ayr,A81,SVO,Ayoreo,Zamucoan
ayw,A81,SVO,Ayiwo,Austronesian
aze,A81,SOV,Azerbaijani,Altaic
azi,A81,SOV,Azari (Iranian),Altaic
baa,A81,SOV,Barai,Trans-New Guinea
bab,A81,SVO,Babungo,Niger-Congo
bac,A81,No_dominant_word_order,Bachamal,Anson Bay
bae,A81,SVO,Baré,Arawakan
baf,A81,SVO,Bafut,Niger-Congo
bag,A81,SVO,Bagirmi,Central Sudanic
bai,A81,SVO,Bai,Sino-Tibetan
baj,A81,No_dominant_word_order,Bajau (Sama),Austronesian
bak,A81,SVO,Baka (in Cameroon),Niger-Congo
bam,A81,SOV,Bambara,Mande
bao,A81,SOV,Bao'an,Altaic
baq,A81,VOS,Baure,Arawakan
bar,A81,SVO,Bari,Eastern Sudanic
bas,A81,SVO,Basaá,Niger-Congo
baw,A81,SOV,Bawm,Sino-Tibetan
bbl,A81,SVO,Babole,Niger-Congo
bbu,A81,No_dominant_word_order,Barambu,Niger-Congo
bbw,A81,No_dominant_word_order,Bininj Gun-Wok,Gunwinyguan
bch,A81,No_dominant_word_order,Berber (Chaouia),Afro-Asiatic
bco,A81,VSO,Bella Coola,Salishan
bdm,A81,SOV,Badimaya,Pama-Nyungan
bdu,A81,SVO,Budu,Niger-Congo
bdw,A81,SOV,Baham,West Bomberai
bej,A81,SOV,Beja,Afro-Asiatic
ben,A81,SOV,Bengali,Indo-European
bfg,A81,VSO,Berber (Figuig),Afro-Asiatic
bgo,A81,SVO,Bongo,Central Sudanic
bgr,A81,SVO,Bagiro,Central Sudanic
bgs,A81,SVO,Baga Sitemu,Niger-Congo
bgz,A81,SVO,Banggi,Austronesian
bho,A81,SOV,Bhojpuri,Indo-European
bhu,A81,SOV,Bhumij,Austro-Asiatic
bid,A81,SVO,Bidiya,Afro-Asiatic
bii,A81,SVO,Biri,Pama-Nyungan
bik,A81,SVO,Biak,Austronesian
bil,A81,No_dominant_word_order,Bilua,Solomons East Papuan
bin,A81,SOV,Binandere,Trans-New Guinea
bir,A81,SVO,Birom,Niger-Congo
biu,A81,SOV,Bisu,Sino-Tibetan
bka,A81,SVO,Baka (in South Sudan),Central Sudanic
bkb,A81,SOV,Betta Kurumba,Dravidian
bkr,A81,No_dominant_word_order,Batak (Karo),Austronesian
bkt,A81,SOV,Brokskat,Indo-European
bku,A81,SVO,Bakueri,Niger-Congo
bla,A81,No_dominant_word_order,Blackfoot,Algic
ble,A81,SVO,Baoulé,Niger-Congo
bln,A81,No_dominant_word_order,Bilin,Afro-Asiatic
blr,A81,No_dominant_word_order,Belorussian,Indo-European
blt,A81,SOV,Balti,Sino-Tibetan
blx,A81,SOV,Biloxi,Siouan
blz,A81,SVO,Balanta,Niger-Congo
bma,A81,VSO,Berber (Middle Atlas),Afro-Asiatic
bmb,A81,SVO,Bimoba,Niger-Congo
bnb,A81,No_dominant_word_order,Bunuba,Bunuban
bni,A81,SVO,Bini,Niger-Congo
bnk,A81,SVO,Bankon,Niger-Congo
bnn,A81,SVO,Banoni,Austronesian
boa,A81,SOV,Boazi (Kuni),Anim
bob,A81,SVO,Bobangi,Niger-Congo
bok,A81,SOV,Boko,Mande
bol,A81,SVO,Bolia,Niger-Congo
bon,A81,SOV,Bongu,Trans-New Guinea
boq,A81,SOV,Bokar,Sino-Tibetan
bra,A81,SVO,Brao,Austro-Asiatic
bre,A81,SVO,Breton,Indo-European
brf,A81,SVO,Berber (Rif),Afro-Asiatic
bri,A81,SOV,Bribri,Chibchan
brl,A81,SOV,Baragaunle,Sino-Tibetan
brm,A81,SOV,Burmese,Sino-Tibetan
brn,A81,SVO,Burunge,Afro-Asiatic
brp,A81,SOV,Barupu,Skou
brq,A81,SVO,Bera,Niger-Congo
brs,A81,No_dominant_word_order,Barasano,Tucanoan
bsh,A81,SVO,Bushoong,Niger-Congo
btk,A81,No_dominant_word_order,Bontok,Austronesian
bto,A81,VOS,Batak (Toba),Austronesian
bua,A81,SOV,Burarra,Mangrida
bub,A81,SVO,Bubi,Niger-Congo
bud,A81,SVO,Buduma,Afro-Asiatic
bug,A81,SVO,Bugis,Austronesian
bul,A81,SVO,Bulgarian,Indo-European
bum,A81,SVO,Buma,Austronesian
bus,A81,SOV,Busa,Mande
but,A81,SOV,Buriat,Altaic
buu,A81,SVO,Buru,Austronesian
buy,A81,SVO,Buli (in Ghana),Niger-Congo
bvi,A81,SVO,Bali-Vitu,Austronesian
bwc,A81,No_dominant_word_order,Bajau (West Coast),Austronesian
bzi,A81,SOV,Bauzi,East Geelvink Bay
cah,A81,SOV,Cahuilla,Uto-Aztecan
cai,A81,No_dominant_word_order,Chai,Eastern Sudanic
cak,A81,VOS,Cakchiquel,Mayan
car,A81,SOV,Carib,Cariban
cas,A81,SOV,Cashibo,Panoan
cav,A81,No_dominant_word_order,Cavineña,Tacanan
cax,A81,No_dominant_word_order,Campa (Axininca),Arawakan
cay,A81,SOV,Cayapa,Barbacoan
cba,A81,VOS,Chumash (Barbareño),Chumash
cbo,A81,No_dominant_word_order,Chácobo,Panoan
ccm,A81,VSO,Chinantec (Comaltepec),Oto-Manguean
cct,A81,SOV,Choctaw,Muskogean
cde,A81,SOV,Carib (De'kwana),Cariban
cea,A81,No_dominant_word_order,Cree (Swampy),Algic
ceb,A81,VSO,Cebuano,Austronesian
cem,A81,VOS,Cèmuhî,Austronesian
cga,A81,SVO,Chaga,Niger-Congo
cha,A81,VSO,Chamorro,Austronesian
chb,A81,SOV,Chambri,Lower Sepik-Ramu
chc,A81,SOV,Chechen,Nakh-Daghestanian
chd,A81,SOV,Chaudangsi,Sino-Tibetan
che,A81,No_dominant_word_order,Cherokee,Iroquoian
chg,A81,SOV,Chang,Sino-Tibetan
chh,A81,SOV,Chaha,Afro-Asiatic
chj,A81,VOS,Chuj,Mayan
chk,A81,No_dominant_word_order,Chukchi,Chukotko-Kamchatkan
chp,A81,SOV,Chipewyan,Na-Dene
chq,A81,VSO,Chinantec (Quiotepec),Oto-Manguean
chr,A81,SVO,Chrau,Austro-Asiatic
chv,A81,SOV,Chuvash,Altaic
chw,A81,SVO,Cham (Western),Austronesian
cic,A81,SVO,Chichewa,Niger-Congo
ckl,A81,VOS,Chinook (Lower),Penutian
cle,A81,VOS,Chinantec (Lealao),Oto-Manguean
cln,A81,SOV,Cholón,Cholon
cme,A81,SVO,Cham (Eastern),Austronesian
cmh,A81,No_dominant_word_order,Chemehuevi,Uto-Aztecan
cml,A81,SOV,Camling,Sino-Tibetan
