Language_ID,Parameter_ID,Value,Name,Family
aab,87A,Noun-Adjective,Arapesh (Abu),Torricelli
aar,87A,Noun-Adjective,Aari,Afro-Asiatic
abi,87A,No dominant order,Abipón,Guaicuruan
abk,87A,Noun-Adjective,Abkhaz,Northwest Caucasian
abn,87A,Noun-Adjective,Arabana,Pama-Nyungan
abo,87A,Noun-Adjective,Arbore,Afro-Asiatic
abu,87A,Noun-Adjective,Abun,West Papuan
abv,87A,Noun-Adjective,Abui,Timor-Alor-Pantar
ace,87A,Noun-Adjective,Acehnese,Austronesian
acg,87A,Noun-Adjective,Achagua,Arawakan
acl,87A,Noun-Adjective,Acholi,Eastern Sudanic
acn,87A,No dominant order,Achang,Sino-Tibetan
aco,87A,No dominant order,Acoma,Keresan
adg,87A,Noun-Adjective,Adang,Timor-Alor-Pantar
adi,87A,Noun-Adjective,Adioukrou,Niger-Congo
adn,87A,Adjective-Noun,Adynyamathanha,Pama-Nyungan
ady,87A,Noun-Adjective,Adyghe (Abzakh),Northwest Caucasian
adz,87A,Noun-Adjective,Adzera,Austronesian
aeg,87A,Noun-Adjective,Arabic (Egyptian),Afro-Asiatic
aga,87A,Adjective-Noun,Agarabi,Trans-New Guinea
agb,87A,Noun-Adjective,Leggbó,Niger-Congo
agc,87A,Adjective-Noun,Agta (Central),Austronesian
agd,87A,Adjective-Noun,Agta (Dupaningan),Austronesian
agh,87A,Noun-Adjective,Aghem,Niger-Congo
agm,87A,Noun-Adjective,Angami,Sino-Tibetan
agt,87A,Noun-Adjective,Anguthimri,Pama-Nyungan
aja,87A,Adjective-Noun,Aja,Central Sudanic
ajg,87A,Noun-Adjective,Ajagbe,Niger-Congo
akh,87A,Noun-Adjective,Akha,Sino-Tibetan
akn,87A,Noun-Adjective,Akan,Niger-Congo
ala,87A,Adjective-Noun,Alamblak,Sepik
alb,87A,Noun-Adjective,Albanian,Indo-European
alk,87A,Noun-Adjective,Arop-Lokep,Austronesian
all,87A,Noun-Adjective,Ala'ala,Austronesian
aln,87A,Noun-Adjective,Alune,Austronesian
als,87A,Adjective-Noun,Alsea,Oregon Coast
alw,87A,No dominant order,Alawa,Mangarrayi-Maran
aly,87A,Noun-Adjective,Alyawarra,Pama-Nyungan
ama,87A,Noun-Adjective,Amara,Austronesian
amb,87A,Adjective-Noun,Ambulas,Sepik
amc,87A,Noun-Adjective,Amahuaca,Panoan
ame,87A,Noun-Adjective,Amele,Trans-New Guinea
amh,87A,Adjective-Noun,Amharic,Afro-Asiatic
ami,87A,Adjective-Noun,Amis,Austronesian
amk,87A,Adjective-Noun,Amarakaeri,Harakmbet
aml,87A,Noun-Adjective,Ambae (Lolovoli Northeast),Austronesian
amm,87A,No dominant order,Ama,Left May
amn,87A,Noun-Adjective,Amanab,Border
amo,87A,Noun-Adjective,Amo,Niger-Congo
amp,87A,Noun-Adjective,Arrernte (Mparntwe),Pama-Nyungan
amq,87A,Noun-Adjective,Ambai,Austronesian
amr,87A,Noun-Adjective,Arabic (Moroccan),Afro-Asiatic
ams,87A,Noun-Adjective,Arabic (Modern Standard),Afro-Asiatic
amt,87A,No dominant order,Amdo (Themchen),Sino-Tibetan
amx,87A,Noun-Adjective,Anamuxra,Trans-New Guinea
ana,87A,Noun-Adjective,Araona,Tacanan
anc,87A,Noun-Adjective,Angas,Afro-Asiatic
ang,87A,Noun-Adjective,Anggor,Senagi
ani,87A,Adjective-Noun,//Ani,Khoe-Kwadi
anj,87A,Noun-Adjective,Anejom,Austronesian
ano,87A,Noun-Adjective,Anong,Sino-Tibetan
anu,87A,Noun-Adjective,Anufo,Niger-Congo
any,87A,Noun-Adjective,Anywa,Eastern Sudanic
ao,87A,Noun-Adjective,Ao,Sino-Tibetan
aoj,87A,Noun-Adjective,Mufian,Torricelli
api,87A,Noun-Adjective,Apinayé,Macro-Ge
apl,87A,Noun-Adjective,Apalaí,Cariban
apt,87A,Noun-Adjective,Apatani,Sino-Tibetan
apu,87A,Noun-Adjective,Apurinã,Arawakan
ara,87A,Adjective-Noun,Lokono,Arawakan
arc,87A,Adjective-Noun,Archi,Nakh-Daghestanian
arg,87A,Noun-Adjective,Arabic (Gulf),Afro-Asiatic
arj,87A,Noun-Adjective,Arabic (Kuwaiti),Afro-Asiatic
arm,87A,Adjective-Noun,Armenian (Eastern),Indo-European
aro,87A,Noun-Adjective,Arosi,Austronesian
arp,87A,Adjective-Noun,Arapesh (Mountain),Torricelli
arq,87A,Noun-Adjective,Arabic (Iraqi),Afro-Asiatic
arw,87A,Adjective-Noun,Armenian (Western),Indo-European
asm,87A,Noun-Adjective,Asmat,Trans-New Guinea
ass,87A,Adjective-Noun,Assamese,Indo-European
asy,87A,Noun-Adjective,Arabic (Syrian),Afro-Asiatic
ata,87A,No dominant order,Atayal,Austronesian
ath,87A,Adjective-Noun,Athpare,Sino-Tibetan
atm,87A,Noun-Adjective,Atacameño,Kunza
au,87A,Noun-Adjective,Au,Torricelli
ava,87A,Adjective-Noun,Avar,Nakh-Daghestanian
awa,87A,Adjective-Noun,Awa,Trans-New Guinea
awe,87A,Noun-Adjective,Arrernte (Western),Pama-Nyungan
awi,87A,Noun-Adjective,Aekyom,Awin-Pare
awp,87A,Adjective-Noun,Awa Pit,Barbacoan
awt,87A,Noun-Adjective,Awtuw,Sepik
awy,87A,Noun-Adjective,Awyi,Border
ayi,87A,Noun-Adjective,Anyi,Niger-Congo
aym,87A,Adjective-Noun,Aymara (Central),Aymaran
ayo,87A,Noun-Adjective,Ayomán,Jirajaran
ayw,87A,Noun-Adjective,Ayiwo,Austronesian
aze,87A,Adjective-Noun,Azerbaijani,Altaic
baa,87A,Noun-Adjective,Barai,Trans-New Guinea
bab,87A,Noun-Adjective,Babungo,Niger-Congo
bac,87A,No dominant order,Bachamal,Anson Bay
bae,87A,Noun-Adjective,Baré,Arawakan
baf,87A,Noun-Adjective,Bafut,Niger-Congo
bag,87A,Noun-Adjective,Bagirmi,Central Sudanic
bai,87A,Adjective-Noun,Bai,Sino-Tibetan
baj,87A,Noun-Adjective,Bajau (Sama),Austronesian
bak,87A,Adjective-Noun,Baka (in Cameroon),Niger-Congo
bam,87A,Noun-Adjective,Bambara,Mande
baq,87A,Noun-Adjective,Baure,Arawakan
bar,87A,Noun-Adjective,Bari,Eastern Sudanic
bas,87A,Noun-Adjective,Basaá,Niger-Congo
baw,87A,Noun-Adjective,Bawm,Sino-Tibetan
bbf,87A,Noun-Adjective,Bobo Madaré (Northern),Mande
bbl,87A,Noun-Adjective,Babole,Niger-Congo
bbu,87A,Adjective-Noun,Barambu,Niger-Congo
bbw,87A,No dominant order,Bininj Gun-Wok,Gunwinyguan
bch,87A,Noun-Adjective,Berber (Chaouia),Afro-Asiatic
bco,87A,Adjective-Noun,Bella Coola,Salishan
bdm,87A,Noun-Adjective,Badimaya,Pama-Nyungan
bdu,87A,Noun-Adjective,Budu,Niger-Congo
bdw,87A,Noun-Adjective,Baham,West Bomberai
bej,87A,No dominant order,Beja,Afro-Asiatic
bel,87A,Adjective-Noun,Belhare,Sino-Tibetan
bem,87A,Noun-Adjective,Bemba,Niger-Congo
bfg,87A,Noun-Adjective,Berber (Figuig),Afro-Asiatic
bfi,87A,Noun-Adjective,Bafia,Niger-Congo
bgn,87A,No dominant order,Bugun,Sino-Tibetan
bgo,87A,No dominant order,Bongo,Central Sudanic
bho,87A,Adjective-Noun,Bhojpuri,Indo-European
bhu,87A,Adjective-Noun,Bhumij,Austro-Asiatic
bid,87A,Noun-Adjective,Bidiya,Afro-Asiatic
bii,87A,Adjective-Noun,Biri,Pama-Nyungan
bik,87A,Noun-Adjective,Biak,Austronesian
bil,87A,Adjective-Noun,Bilua,Solomons East Papuan
bin,87A,Noun-Adjective,Binandere,Trans-New Guinea
